"Gene","LOF","dmis","mis","syn","dn.LoF","dn.mis3","dn.mis","dn.syn","BF.dn","pval.TADA.dn","qvalue.dn"
"RIPK1",2.38e-06,5.02e-06,1.89e-05,8.75e-06,0,0,0,0,0.499954983883353,0.71599145622668,0.93254829654282
"NR1D1",2.58e-06,3.96e-06,2.3e-05,9.87e-06,0,0,0,0,0.499915496918494,0.716041745525334,0.932551017708924
"AK5",2.88e-06,2.4e-06,1.68e-05,6.66e-06,0,0,0,1,0.499908571055429,0.716093657059428,0.932553738500563
"STEAP4",2.82e-06,2.71e-06,1.21e-05,4.47e-06,0,0,0,0,0.499888499749194,0.716245065700535,0.932556458976513
"RBM45",3.16e-06,9.83e-07,1.38e-05,5.62e-06,0,0,0,0,0.499807961068658,0.716298058724923,0.932559179406797
"PADI4",2.53e-06,4.23e-06,2.2e-05,1.13e-05,0,0,0,0,0.499796695521989,0.716348348023576,0.932561899482184
"MPP2",2.65e-06,3.6e-06,2.35e-05,9.99e-06,0,0,0,0,0.49976811261658,0.716396474341643,0.932564619280055
"GLYR1",2.94e-06,2.1e-06,1.86e-05,8.83e-06,0,0,0,0,0.499760032135192,0.716448926620884,0.932567338708959
"SAMD3",3.06e-06,1.49e-06,1.28e-05,5.38e-06,0,0,0,0,0.499750715297861,0.716500838154978,0.932570057774497
"ABCG8",2.81e-06,2.77e-06,2.26e-05,1.13e-05,0,0,0,0,0.499723747147392,0.716551127453631,0.932572776555525
"UGT1A4",1.91e-06,7.6e-06,1.65e-05,7.18e-06,0,0,0,3,0.499720650223622,0.716601416752285,0.932575494945582
"ZNF251",3.11e-06,1.24e-06,2.06e-05,7.94e-06,0,0,0,0,0.49969838256132,0.716653869031525,0.932578213030299
"NLK",2.97e-06,1.95e-06,1.49e-05,6.58e-06,0,0,0,0,0.499696624022452,0.716706321310766,0.932580930718234
"WSCD2",2.67e-06,3.5e-06,2.1e-05,9.34e-06,0,0,0,0,0.499677618464497,0.71675661060942,0.932583648086424
"DDX28",2.87e-06,2.47e-06,2.24e-05,9.85e-06,0,0,0,0,0.499540063495599,0.716810144378954,0.932586365663818
"ZSCAN9",3.24e-06,5.96e-07,1.07e-05,3.8e-06,0,0,0,0,0.499536193533568,0.716863137403342,0.932589082854013
"PKLR",2.58e-06,3.98e-06,2.49e-05,1.08e-05,0,0,0,0,0.499527562439125,0.716913967447142,0.932591799678335
"DEPDC1B",3.09e-06,1.35e-06,1.53e-05,5.71e-06,0,0,0,0,0.499515796665716,0.716966419726383,0.932594516150847
"FARSB",2.76e-06,3.04e-06,1.64e-05,6.29e-06,0,0,0,0,0.499505784908332,0.717070783539718,0.932597232263803
"ZNF836",2.76e-06,3.04e-06,2.54e-05,8.8e-06,0,0,0,0,0.499505784908332,0.717070783539718,0.932599947972636
"CCDC157",2.99e-06,1.86e-06,2.65e-05,1.16e-05,0,0,0,0,0.499458756030951,0.717122154328665,0.932602663487151
"TMEM183A",2.86e-06,2.53e-06,1.3e-05,5.6e-06,0,0,0,0,0.499370927938124,0.717172443627318,0.93260537898932
"MBOAT1",2.75e-06,3.1e-06,1.42e-05,6.03e-06,0,0,0,0,0.499347209520773,0.717223814416266,0.932608094193299
"CCDC149",2.72e-06,3.26e-06,1.6e-05,7.76e-06,0,0,0,0,0.499269449581295,0.717271940734332,0.932610809340096
"ACVRL1",2.17e-06,6.2e-06,2e-05,9.37e-06,0,0,0,0,0.499098458762518,0.717376845292814,0.932613524845365
"UAP1",2.99e-06,1.88e-06,1.33e-05,4.85e-06,0,0,0,0,0.499059818393515,0.717425512356027,0.932616240119036
"ZNF33B",2.73e-06,3.22e-06,1.81e-05,6.81e-06,0,0,0,0,0.499033463648799,0.717476342399827,0.932618955106395
"ZNF107",2.94e-06,2.14e-06,1.73e-05,6.35e-06,0,0,0,0,0.498964752206346,0.717530416914508,0.932621669996304
"ALPI",2.47e-06,4.6e-06,2.15e-05,1.22e-05,0,0,0,0,0.498799273688276,0.717580165468015,0.932624385220077
"LY9",2.93e-06,2.2e-06,2e-05,8.79e-06,0,0,1,0,0.498789587577932,0.717632077002109,0.932627100083326
"MMP25",2.76e-06,3.08e-06,2.12e-05,1.1e-05,0,0,0,0,0.498721141541398,0.717681825555616,0.932629814847992
"UVSSA",2.55e-06,4.18e-06,2.91e-05,1.35e-05,0,0,2,0,0.498720308063793,0.717731574109122,0.932632529212809
"ANGPTL2",2.52e-06,4.34e-06,1.87e-05,9.41e-06,0,0,0,0,0.498695481211164,0.717781863407776,0.932635243284775
"DBNL",2.1e-06,6.61e-06,1.65e-05,7.42e-06,0,0,0,1,0.498591809447662,0.717827286000108,0.932637957415247
"KLHDC1",2.97e-06,2.01e-06,1.1e-05,4.37e-06,0,0,0,0,0.49850201844468,0.718033309901044,0.932640671542376
"SH2D3A",2.72e-06,3.3e-06,2.53e-05,1.14e-05,0,0,0,0,0.498487541377191,0.718084680689991,0.932643385330651
"SOX13",2.68e-06,3.51e-06,2e-05,8.31e-06,0,0,0,0,0.498463504379619,0.718134429243498,0.932646098822732
"ABCB10",2.8e-06,2.89e-06,2.95e-05,1.37e-05,0,0,0,0,0.498380273609482,0.718182555561564,0.932648812282352
"IFFO1",2.19e-06,6.13e-06,2.64e-05,1.35e-05,0,0,0,0,0.498365418488186,0.718234467095658,0.932651525404977
"VAC14",2.63e-06,3.78e-06,2.67e-05,1.35e-05,0,0,0,0,0.49830712042473,0.718286378629752,0.932654238384161
"SEMA7A",2.77e-06,3.05e-06,2.6e-05,1.23e-05,0,0,0,1,0.498291894272948,0.718338290163846,0.932656951028126
"CNDP1",2.6e-06,3.94e-06,1.7e-05,8.26e-06,0,0,0,0,0.498262674713535,0.718399394365436,0.932659663399258
"OSGIN2",3.02e-06,1.77e-06,1.48e-05,6.01e-06,0,0,0,0,0.498209176937284,0.718450765154383,0.932662375605723
"PDE7A",2.7e-06,3.42e-06,1.47e-05,5.68e-06,0,0,0,0,0.498181458315088,0.718502676688477,0.932665087532779
"RBPJL",2.51e-06,4.42e-06,2.22e-05,1.21e-05,0,0,0,1,0.498176078945496,0.718601092305197,0.932667799081033
"HNF4A",2.51e-06,4.42e-06,2.07e-05,1.01e-05,0,0,0,0,0.498176078945496,0.718601092305197,0.932670510226622
