"Gene","LOF","dmis","mis","syn","dn.LoF","dn.mis3","dn.mis","dn.syn","BF.dn","pval.TADA.dn","qvalue.dn"
"UBE2W",2.03e-06,7.65e-07,6.01e-06,2.13e-06,0,0,0,0,0.635256083066381,0.507618017628292,0.919843158193918
"MBOAT4",2.06e-06,6.14e-07,1.21e-05,5.82e-06,0,0,0,0,0.635232256871722,0.507671551397826,0.919847435016394
"ENDOU",1.84e-06,1.74e-06,1.11e-05,5.1e-06,0,0,0,0,0.635153399912315,0.50772346293192,0.919851711433469
"MRPS35",1.92e-06,1.33e-06,8.78e-06,4.16e-06,0,0,0,0,0.635135277558028,0.507776996701455,0.919855987073582
"NPFFR2",1.94e-06,1.23e-06,1.52e-05,6.14e-06,0,0,1,0,0.635077573374901,0.507828367490402,0.919860262179188
"SLC16A5",1.65e-06,2.73e-06,1.88e-05,8.89e-06,0,0,1,0,0.635064248460523,0.507881901259936,0.919864536478914
"EGLN2",1.75e-06,2.21e-06,1.68e-05,7.81e-06,0,0,1,0,0.635035157730153,0.507938138755205,0.919868810069465
"KRT83",1.88e-06,1.54e-06,2.05e-05,9.73e-06,0,0,0,0,0.635008237881241,0.507989509544152,0.919873082937785
"ST3GAL4",1.82e-06,1.85e-06,1.17e-05,4.9e-06,0,0,0,0,0.63497836085568,0.508043043313686,0.919877355102185
"FCN2",1.89e-06,1.49e-06,1.07e-05,5.28e-06,0,0,0,0,0.634974539778556,0.508094414102633,0.919881626403523
"C1orf100",2.13e-06,2.72e-07,4.56e-06,1.85e-06,0,0,0,0,0.634945892297157,0.508147947872168,0.919885896993895
"ZDHHC9",1.83e-06,1.8e-06,1.15e-05,4.42e-06,0,0,0,0,0.634938287547205,0.508199859406262,0.919890166744847
"SPDYE4",2.08e-06,5.25e-07,8.51e-06,4.02e-06,0,0,0,0,0.634920053927863,0.508253933920943,0.919894435721629
"C1orf172",1.79e-06,2.01e-06,1.55e-05,5.73e-06,0,0,0,0,0.634851555723983,0.50830530470989,0.919898704231786
"TSPAN32",1.95e-06,1.19e-06,1.19e-05,5.76e-06,0,0,0,0,0.634794186822502,0.508357756989131,0.919902972207432
"CTSK",1.81e-06,1.91e-06,8.35e-06,3.21e-06,0,0,0,0,0.634765931551916,0.508405883307197,0.919907239470776
"FGL1",1.76e-06,2.17e-06,8.36e-06,3.55e-06,0,0,0,0,0.634735103513383,0.508456713350998,0.919911506037766
"MRPS15",2.08e-06,5.34e-07,9.02e-06,3.51e-06,0,0,0,0,0.63468748622675,0.508505921159358,0.919915772011223
"CYP2A13",1.78e-06,2.07e-06,1.89e-05,8.09e-06,0,0,1,0,0.634642988478823,0.508557291948305,0.919920037372271
"UGDH",1.68e-06,2.59e-06,1.35e-05,4.63e-06,0,0,0,0,0.63464224187724,0.508608121992105,0.919924301853776
"FBXO44",1.92e-06,1.35e-06,1.17e-05,4.82e-06,0,0,0,0,0.634624219921042,0.508662196506786,0.919928565561556
"PIANP",2.18e-06,3.39e-08,1.01e-05,4.01e-06,0,0,0,0,0.634611022653087,0.508715730276321,0.919932828466378
"AHSA1",1.8e-06,1.97e-06,1.07e-05,4.43e-06,0,0,0,0,0.634554988087185,0.508818471854215,0.919937090830153
"HSF5",1.95e-06,1.2e-06,2.09e-05,1.01e-05,0,0,0,0,0.634538227184369,0.50887200562375,0.919941352413181
"NUTM2F",1.96e-06,1.15e-06,1.75e-05,8.81e-06,0,0,0,0,0.634511647145224,0.50892283566755,0.919945613275671
"FEZ2",1.62e-06,2.91e-06,1.25e-05,6.43e-06,0,0,0,0,0.634494071938577,0.508976369437084,0.919949873362859
"PTAR1",1.89e-06,1.51e-06,1.14e-05,4.54e-06,0,0,1,0,0.634464747754183,0.509027199480885,0.919954132746724
"SCRN3",1.59e-06,3.07e-06,1.02e-05,3.55e-06,0,0,0,0,0.634435247268276,0.509075866544098,0.919958391428562
"TSN",1.83e-06,1.82e-06,6.84e-06,2.89e-06,0,0,0,0,0.634430714800173,0.509127237333045,0.919962649256171
"ZPBP2",1.74e-06,2.29e-06,9.91e-06,3.8e-06,0,0,0,0,0.634327132460508,0.509180230357433,0.919966906834415
"SLC29A1",1.45e-06,3.82e-06,1.47e-05,6.48e-06,0,0,1,0,0.634211946607912,0.509231060401233,0.919971164234204
"SFXN1",1.89e-06,1.52e-06,1.03e-05,4.76e-06,0,0,0,0,0.634210058386804,0.509281890445033,0.919975420764158
"FAM153A",2.19e-06,0,1.01e-05,4.47e-06,0,0,0,0,0.63419002977288,0.509334883469421,0.919979676535244
"SAE1",1.83e-06,1.83e-06,1.1e-05,4.44e-06,0,0,0,0,0.634177133386361,0.509388417238955,0.91998393150418
"ZNF488",1.92e-06,1.37e-06,1.06e-05,4.82e-06,0,0,0,0,0.634113715676427,0.509439247282756,0.919988185979447
"SLC25A14",1.88e-06,1.58e-06,1.04e-05,4.19e-06,0,0,0,0,0.633989858546233,0.509497107013465,0.919992440329908
"CYP4B1",1.72e-06,2.41e-06,1.66e-05,5.93e-06,0,0,0,0,0.633925036552613,0.509549559292705,0.919996694195505
"NUDT13",1.84e-06,1.79e-06,9.1e-06,3.59e-06,0,0,0,0,0.633884007206004,0.509601470826799,0.920000947431272
"OLFM4",1.93e-06,1.33e-06,1.41e-05,6.05e-06,0,0,0,0,0.63382846810888,0.50965392310604,0.920005200125897
"DBX1",1.88e-06,1.59e-06,1.85e-05,1.02e-05,0,0,0,0,0.633735607382601,0.509704212404694,0.920009452507142
"OXSM",1.59e-06,3.1e-06,1.12e-05,4.12e-06,0,0,0,0,0.633687910150899,0.509757205429081,0.920013704299723
"EFNB3",1.83e-06,1.85e-06,1.2e-05,4.82e-06,0,0,0,0,0.633670380026257,0.509808576218028,0.920017955319897
"TMEM192",1.99e-06,1.03e-06,7.11e-06,3.34e-06,0,0,0,0,0.633669103870947,0.509859406261829,0.920022205468814
"SLC30A4",1.9e-06,1.49e-06,1.25e-05,5.87e-06,0,0,0,0,0.633667613122778,0.509912399286216,0.920026454748053
"RPL7",2.18e-06,7.05e-08,7.18e-06,2.57e-06,0,0,0,0,0.633659887644538,0.509965933055751,0.920030703195885
"TTC4",2e-06,9.8e-07,1e-05,4.18e-06,0,0,0,0,0.633646192774443,0.510017844589845,0.920034950848947
"CCNDBP1",1.78e-06,2.11e-06,1.03e-05,4.62e-06,0,0,0,0,0.63363264686586,0.510071378359379,0.920039197706578
"EPT1",1.85e-06,1.75e-06,9.7e-06,4.39e-06,0,0,1,0,0.633591728834031,0.51012220840318,0.920043443935809
"ZNF154",2.01e-06,9.33e-07,1.15e-05,4.46e-06,0,0,0,0,0.633547386944551,0.510174119937274,0.920047689557696
"DDOST",1.7e-06,2.53e-06,1.7e-05,8.26e-06,0,0,0,0,0.633528792235353,0.510226031471368,0.920051934415578
"HMGCLL1",1.75e-06,2.27e-06,9.91e-06,4.42e-06,0,0,0,0,0.633522452249873,0.510278483750608,0.920056178435041
"CHRNA6",1.58e-06,3.16e-06,1.31e-05,5.82e-06,0,0,0,0,0.633505334556224,0.510330936029849,0.920060421681992
"OTUD3",2.07e-06,6.32e-07,1.36e-05,5.64e-06,0,0,0,0,0.633463619936145,0.51038501054453,0.920064664306468
"TSPYL1",2.09e-06,5.31e-07,1.7e-05,8.2e-06,0,0,1,0,0.63346133174001,0.510437462823771,0.920068906068575
"LPXN",1.67e-06,2.69e-06,1.12e-05,4.65e-06,0,0,0,0,0.633445533841909,0.510487211377278,0.920073147050838
"LETMD1",1.63e-06,2.9e-06,1.21e-05,4.21e-06,0,0,0,0,0.633433526000243,0.510539122911372,0.920077387230425
"MPI",1.77e-06,2.17e-06,1.31e-05,5.71e-06,0,0,1,0,0.633426726007204,0.510644027469853,0.920081626575881
"CCNE1",1.77e-06,2.17e-06,9.51e-06,4.33e-06,0,0,0,0,0.633426726007204,0.510644027469853,0.920085865046072
"NAPEPLD",1.9e-06,1.5e-06,1.09e-05,4.36e-06,0,0,0,0,0.633413172976145,0.510697020494241,0.920090102723759
"CTSE",1.58e-06,3.17e-06,1.2e-05,5.75e-06,0,0,0,0,0.633256762848501,0.510748391283188,0.920094340478597
"SYT15",1.96e-06,1.2e-06,1.71e-05,8.42e-06,0,0,0,1,0.633233093514342,0.510801925052723,0.920098577502804
"ATP1B2",1.88e-06,1.61e-06,1.1e-05,4.93e-06,0,0,0,0,0.633227516821233,0.51085329584167,0.92010281368652
"SMYD1",1.71e-06,2.49e-06,1.68e-05,7.42e-06,0,0,1,0,0.63322425526165,0.510906829611204,0.920107049015917
"DOK5",2.03e-06,8.46e-07,1.09e-05,4.36e-06,0,0,0,0,0.633172985431797,0.510960363380739,0.920111283783319
"PRMT6",1.78e-06,2.13e-06,1.89e-05,9.75e-06,0,0,0,0,0.633128288854917,0.511019304601741,0.920115517948915
"DUSP1",1.6e-06,3.07e-06,1.64e-05,9.19e-06,0,0,0,0,0.633124939046005,0.511072838371276,0.920119751261411
"HSPA6",9.8e-07,6.42e-06,2.22e-05,1.02e-05,0,0,0,1,0.633092694270551,0.511121505434489,0.920123983896801
"FBXO28",2.11e-06,4.45e-07,1.2e-05,5.36e-06,0,0,1,0,0.633076150587648,0.511175039204023,0.920128215759814
"TAZ",1.61e-06,3.02e-06,1.12e-05,5.58e-06,0,0,0,0,0.633060544300042,0.511223165522089,0.920132446844992
"KLK11",1.88e-06,1.62e-06,1.05e-05,4.73e-06,0,0,0,0,0.632973677241424,0.51127561780133,0.920136677585827
"CYB5RL",1.89e-06,1.57e-06,1.05e-05,4.52e-06,0,0,0,0,0.632938674341925,0.511328610825718,0.920140907667137
"WNT16",1.77e-06,2.19e-06,1.27e-05,6.23e-06,0,0,0,0,0.632922950280771,0.511380522359812,0.920145136971935
"GOT2",1.9e-06,1.52e-06,1.46e-05,6.17e-06,0,0,0,0,0.632904705213184,0.511432433893906,0.920149365515785
"HSD17B14",1.86e-06,1.73e-06,1.1e-05,5.29e-06,0,0,0,0,0.63279340165023,0.511485426918293,0.920153593864482
"HNF4G",1.7e-06,2.56e-06,1.25e-05,4.48e-06,0,0,0,0,0.632776956473703,0.511537338452387,0.920157821441649
"PODXL2",1.66e-06,2.77e-06,1.74e-05,8.42e-06,0,0,1,1,0.63275376537504,0.511588168496188,0.920162048288514
"BMP2",1.62e-06,2.98e-06,1.42e-05,6.83e-06,0,0,0,0,0.632748140195248,0.511639539285135,0.92016627429858
"GTF2E1",1.89e-06,1.58e-06,1.36e-05,4.82e-06,0,0,0,0,0.632684809452669,0.511692532309522,0.920170499822669
"SAMD7",2.04e-06,8.15e-07,1.19e-05,4.76e-06,0,0,0,0,0.632666360804599,0.51174552533391,0.9201747245883
"LGALS4",1.56e-06,3.3e-06,1.17e-05,5.97e-06,0,0,0,0,0.632648564554534,0.511851511382685,0.920178948591743
"MOCS3",1.56e-06,3.3e-06,1.86e-05,9.17e-06,0,0,0,0,0.632648564554534,0.511851511382685,0.920183171725155
"PELI1",1.64e-06,2.88e-06,1.23e-05,4.84e-06,0,0,1,0,0.632624120026704,0.511908289623101,0.920187394137246
"MGAT2",1.79e-06,2.1e-06,1.45e-05,7.06e-06,0,0,0,0,0.632578702667876,0.511959119666901,0.920191615955586
"SEC62",2.09e-06,5.67e-07,9.68e-06,3.48e-06,0,0,0,0,0.63253396139784,0.512012653436435,0.920195837176256
"ZBTB8B",1.94e-06,1.33e-06,1.66e-05,7.91e-06,0,0,0,0,0.632524496434138,0.512117557994917,0.920200057585285
"PEX11B",1.94e-06,1.33e-06,8.44e-06,3e-06,0,0,0,0,0.632524496434138,0.512117557994917,0.92020427712547
"TSPYL4",2.1e-06,5.17e-07,1.53e-05,6.66e-06,0,0,0,1,0.632520889285915,0.512169469529011,0.920208495818974
"LGALS9C",1.81e-06,2e-06,1.28e-05,5.83e-06,0,0,0,0,0.63249023948961,0.512220299572811,0.920212713830178
"HEYL",1.89e-06,1.59e-06,1.22e-05,5.44e-06,0,0,0,0,0.632431081657426,0.51242740496404,0.92021693133229
"TFPI",1.89e-06,1.59e-06,8.95e-06,3.51e-06,0,0,0,0,0.632431081657426,0.51242740496404,0.920221147966515
"ZNF600",1.89e-06,1.59e-06,1.79e-05,6.4e-06,0,0,0,0,0.632431081657426,0.51242740496404,0.920225363733119
"DRD3",1.53e-06,3.47e-06,1.26e-05,5.21e-06,0,0,0,1,0.632366676290753,0.512479857243281,0.920229579023087
"DOK6",1.92e-06,1.44e-06,1.06e-05,4.85e-06,0,0,0,0,0.632331298169318,0.512532309522522,0.920233793660492
"YIF1B",1.55e-06,3.37e-06,1.34e-05,6.71e-06,0,0,0,0,0.632223337713706,0.512582058076029,0.920238008085776
"KCNV1",1.71e-06,2.53e-06,1.84e-05,8.52e-06,0,0,0,0,0.632222004074324,0.512633969610123,0.920242221652339
"TP53I13",1.82e-06,1.96e-06,1.46e-05,6.69e-06,0,0,0,0,0.632195213332513,0.512685881144217,0.920246434514822
"HOXB6",1.52e-06,3.53e-06,1.22e-05,7.25e-06,0,0,0,0,0.632192921684764,0.512735629697723,0.920250646524891
"BAG5",1.85e-06,1.81e-06,1.39e-05,6.02e-06,0,0,0,0,0.632072822665118,0.512788622722111,0.920254858397074
"SLC24A5",1.74e-06,2.38e-06,1.31e-05,5.39e-06,0,0,0,0,0.632064922313751,0.512938949872925,0.920259069451224
"SCG3",1.74e-06,2.38e-06,1.08e-05,4.71e-06,0,0,0,0,0.632064922313751,0.512938949872925,0.920263279639704
"THEG",1.74e-06,2.38e-06,1.52e-05,6.38e-06,0,0,0,0,0.632064922313751,0.512938949872925,0.920267488962781
"C2orf43",1.87e-06,1.71e-06,8.42e-06,3.33e-06,0,0,0,0,0.631996369967891,0.513044395176553,0.920271697836186
"SLC51A",1.87e-06,1.71e-06,1.2e-05,6.28e-06,0,0,0,0,0.631996369967891,0.513044395176553,0.920275905844636
"DNAJC8",2.03e-06,8.93e-07,7.44e-06,2.81e-06,0,0,0,0,0.631968485201901,0.513096306710647,0.920280113157361
"HS6ST3",1.59e-06,3.17e-06,1.83e-05,8.18e-06,0,0,0,0,0.631948738622482,0.513147677499594,0.920284319725269
"OPRK1",1.52e-06,3.54e-06,1.48e-05,7.15e-06,0,0,1,0,0.631946120116186,0.513197426053101,0.920288525444825
"LIPN",1.82e-06,1.97e-06,1.01e-05,3.75e-06,0,0,0,0,0.631943015498412,0.513249337587195,0.920292730319234
"PGAP2",1.72e-06,2.49e-06,1.53e-05,7.34e-06,0,0,0,0,0.631918244819117,0.513302330611583,0.920296934479988
"FBXW8",2e-06,1.05e-06,1.61e-05,7.92e-06,0,0,0,0,0.631855390912266,0.51335370140053,0.92030113815795
"SLC38A1",1.97e-06,1.21e-06,1.36e-05,6.11e-06,0,0,0,0,0.631676023467053,0.513406153679771,0.920305342058856
"MLST8",1.68e-06,2.71e-06,1.45e-05,7.68e-06,0,0,0,0,0.631639313252003,0.513458605959011,0.920309545318827
"SFXN5",1.78e-06,2.19e-06,1.29e-05,6.45e-06,0,0,0,0,0.631618457440654,0.513509976747959,0.92031374784207
"FOSL1",1.73e-06,2.45e-06,1.03e-05,4.66e-06,0,0,0,0,0.631615333557122,0.5135624290272,0.92031794952146
"PDK3",1.92e-06,1.47e-06,1.25e-05,5.01e-06,0,0,0,0,0.631569469618567,0.513615422051587,0.920322150615982
"PSTK",2.13e-06,4.04e-07,1.12e-05,5.82e-06,0,0,0,0,0.631534154741375,0.513672741037149,0.920326351061966
"FCRLB",1.8e-06,2.09e-06,2.04e-05,1.09e-05,0,0,0,0,0.631526695552632,0.513775482615044,0.920330550691023
"SBSPON",1.87e-06,1.73e-06,1.1e-05,5.23e-06,0,0,0,0,0.631490517607497,0.513827394149137,0.920334749677199
"IQCG",1.96e-06,1.27e-06,1.23e-05,5.11e-06,0,0,0,0,0.631448936677367,0.513880927918672,0.920338948053387
"FSCN1",1.32e-06,4.63e-06,2.55e-05,1.46e-05,0,0,0,0,0.631434142212478,0.513932298707619,0.920343145657707
"CD1C",2.1e-06,5.61e-07,9.43e-06,4.26e-06,0,0,0,0,0.631389145041733,0.513985291732007,0.920347342673116
"NUCB2",1.9e-06,1.58e-06,9.21e-06,3.44e-06,0,0,1,0,0.63138259559939,0.514036121775807,0.920351538867218
"ZNF578",2.06e-06,7.66e-07,1.53e-05,5.11e-06,0,0,0,0,0.631322703285294,0.514088574055048,0.920355734562918
"KCNJ4",1.03e-06,6.22e-06,2.05e-05,1.06e-05,0,0,1,0,0.631267209616281,0.514138322608555,0.920359929733768
"TGIF1",1.76e-06,2.31e-06,1.63e-05,7.55e-06,0,0,0,0,0.631212725588274,0.514188071162061,0.920364124373827
"C7orf25",1.72e-06,2.52e-06,1.43e-05,6.12e-06,0,0,0,0,0.63116790651411,0.514239982696155,0.920368318424815
"FGFR1OP2",2.04e-06,8.74e-07,7.48e-06,3.18e-06,0,0,0,0,0.63115537800269,0.514291894230249,0.920372511691678
"UBC",1.6e-06,3.15e-06,2.12e-05,8.81e-06,0,0,0,0,0.631138788913271,0.514343805764343,0.920376704199205
"LILRA1",1.91e-06,1.54e-06,1.56e-05,7.27e-06,0,0,1,1,0.631095314582732,0.514397880279024,0.920380896110153
"POU5F1B",2.01e-06,1.03e-06,9.75e-06,5e-06,0,0,0,0,0.631066428855742,0.514450873303412,0.920385087336528
"TOP3B",1.54e-06,3.47e-06,1.73e-05,8.62e-06,0,0,1,0,0.631059741426139,0.514500621856919,0.920389277744374
"CBLN3",1.93e-06,1.44e-06,9.68e-06,4.48e-06,0,0,0,0,0.631030257989946,0.514549829665279,0.920393467471708
"CYP4Z1",1.8e-06,2.11e-06,1.26e-05,4.51e-06,0,0,1,0,0.631023874673071,0.514599037473639,0.920397656379151
"B3GAT3",1.75e-06,2.37e-06,1.28e-05,5.46e-06,0,0,0,0,0.63101205247484,0.514652030498026,0.920401844499818
"HTR7",1.62e-06,3.05e-06,1.79e-05,9.62e-06,0,0,0,0,0.631008685716049,0.514701779051533,0.920406031782868
"C9orf173",1.96e-06,1.29e-06,1.18e-05,5.76e-06,0,0,0,0,0.630940420475657,0.51475314984048,0.9204102186206
"TUBB",1.5e-06,3.69e-06,1.37e-05,5.64e-06,0,0,0,0,0.63086538003473,0.514854809928081,0.92041440505408
"C10orf120",2.03e-06,9.37e-07,1e-05,3.47e-06,0,0,0,0,0.630843659723628,0.514907802952469,0.920418590761396
"CIAO1",1.65e-06,2.9e-06,1.18e-05,5.15e-06,0,0,0,0,0.630821095496285,0.514959714486563,0.920422775747868
"RBM34",2.04e-06,8.89e-07,1.35e-05,5.87e-06,0,0,0,0,0.630772003871608,0.51501108527551,0.920426960173904
"ZNF566",1.87e-06,1.76e-06,9.95e-06,3.57e-06,0,0,1,0,0.630732761074233,0.515064619045044,0.920431143980211
"ACTL7A",1.59e-06,3.22e-06,1.55e-05,7.74e-06,0,0,0,0,0.630710416160952,0.515116530579138,0.920435327064963
"ZNF683",1.89e-06,1.66e-06,1.51e-05,6.86e-06,0,0,0,0,0.630658818091785,0.515168982858379,0.920439509604975
"RIC3",1.73e-06,2.49e-06,1.06e-05,4.42e-06,0,0,1,0,0.630615077198254,0.515221975882766,0.920443691552989
"WDFY2",1.91e-06,1.56e-06,1.33e-05,5.66e-06,0,0,0,1,0.630588989120644,0.515274968907154,0.920447872802643
"CD34",1.74e-06,2.44e-06,1.11e-05,5.43e-06,0,0,0,0,0.630562821718425,0.515326339696101,0.920452053354631
"VSIG1",1.85e-06,1.87e-06,1.23e-05,6.07e-06,0,0,0,0,0.630558817457316,0.515376088249608,0.920456233075426
"ZNF460",2.02e-06,1e-06,1.71e-05,7.23e-06,0,0,1,0,0.630533659067968,0.515430162764289,0.920460412092922
"JMJD8",2.04e-06,9.02e-07,1.54e-05,7.83e-06,0,0,0,1,0.630439999627948,0.515482074298383,0.920464590820618
"PSMD8",2.1e-06,6e-07,1.43e-05,6.64e-06,0,0,1,0,0.63038828299725,0.515535067322771,0.92046876900558
"FRA10AC1",2.01e-06,1.06e-06,6.99e-06,2.6e-06,0,0,0,0,0.630301769127219,0.515687557454172,0.920472946857879
"HSD3B7",1.66e-06,2.87e-06,1.55e-05,7.32e-06,0,0,0,0,0.630263613796128,0.515739468988266,0.920477124085944
"TMEM59",1.87e-06,1.78e-06,9.07e-06,4.74e-06,0,0,0,0,0.630228270337992,0.515792462012653,0.920481300673011
"ATP6V0D2",1.88e-06,1.73e-06,1.02e-05,4.31e-06,0,0,0,0,0.63019046474506,0.515844373546747,0.920485476634124
"CLEC14A",1.77e-06,2.3e-06,2.21e-05,1.23e-05,0,0,0,0,0.63016181526675,0.515896285080841,0.920489651914269
"TRIM59",1.97e-06,1.27e-06,9.47e-06,3.46e-06,0,0,0,0,0.630150305455138,0.515949278105229,0.920493826410316
"ACPL2",1.61e-06,3.14e-06,1.56e-05,6.54e-06,0,0,0,0,0.630082734992754,0.516053101173417,0.920498000460469
"CDK20",1.61e-06,3.14e-06,1.25e-05,6.04e-06,0,0,0,0,0.630082734992754,0.516053101173417,0.920502173657558
"JMJD7",1.58e-06,3.3e-06,1.2e-05,5.99e-06,0,0,0,0,0.630037279224521,0.516103390472071,0.92050634627582
"SLC25A40",2.04e-06,9.18e-07,7.71e-06,2.84e-06,0,0,0,0,0.630031701638169,0.516154761261018,0.920510518075098
"PSG11",1.86e-06,1.84e-06,8.82e-06,4.01e-06,0,0,1,0,0.630015219515331,0.516206132049965,0.920514689121355
"TCP10L2",2.19e-06,1.62e-07,1.21e-05,5.93e-06,0,0,0,0,0.629995363138456,0.516257502838912,0.920518859435154
"GRXCR1",1.87e-06,1.79e-06,8.88e-06,3.4e-06,0,0,0,0,0.629976228785489,0.516308332882712,0.92052302901237
"TBX2",1.81e-06,2.1e-06,2.5e-05,1.47e-05,0,0,0,0,0.629974567362172,0.516360785161953,0.920527197747965
"ACPT",1.76e-06,2.36e-06,1.63e-05,7.69e-06,0,0,0,1,0.629961119956743,0.516413778186341,0.920531365713194
"ZBP1",2.1e-06,6.21e-07,1.4e-05,6.82e-06,0,0,0,0,0.62985024072404,0.516466230465582,0.920535533495138
"FTSJ1",1.62e-06,3.1e-06,1.14e-05,5.41e-06,0,0,0,0,0.629770167543975,0.516525712431731,0.920539700908331
"TMEFF1",1.93e-06,1.49e-06,1.18e-05,5.93e-06,0,0,0,0,0.629763841194713,0.516578705456119,0.920543867508781
"ZNF239",1.86e-06,1.85e-06,1.17e-05,4.43e-06,0,0,0,0,0.629763472828094,0.516630076245066,0.920548033260862
"DCAF7",1.87e-06,1.8e-06,1.14e-05,4.86e-06,0,0,1,0,0.629724322990153,0.516681447034013,0.92055219839833
"RASGEF1C",1.95e-06,1.39e-06,1.63e-05,8.07e-06,0,0,0,0,0.629701275468794,0.51678364786676,0.920556362824435
"B3GNT1",1.95e-06,1.39e-06,1.83e-05,9.84e-06,0,0,0,0,0.629701275468794,0.51678364786676,0.920560526400656
"FAM46B",1.3e-06,4.81e-06,1.89e-05,9.1e-06,0,0,0,1,0.62968919282664,0.516836640891148,0.92056468919998
"FBXL7",1.9e-06,1.65e-06,2.33e-05,1.15e-05,0,0,0,0,0.629613024622834,0.516889633915536,0.92056885160834
"CCNJ",1.91e-06,1.6e-06,1.11e-05,4.56e-06,0,0,0,1,0.629577978011064,0.516940463959336,0.920573013378394
"IFIT1B",2.01e-06,1.09e-06,1.18e-05,4.55e-06,0,0,0,0,0.629538355535002,0.51704320553723,0.920577174537872
"ZACN",2.16e-06,3.33e-07,1.55e-05,7.93e-06,0,0,0,0,0.629474477812506,0.517096739306765,0.9205813352329
"TNNT1",1.49e-06,3.8e-06,1.31e-05,5.01e-06,0,0,0,0,0.629470833633583,0.517150273076299,0.92058549510125
"GDF10",1.56e-06,3.43e-06,2.3e-05,1.19e-05,0,0,0,0,0.629437889456316,0.51720272535554,0.920589654319428
"TMEM26",1.68e-06,2.8e-06,1.17e-05,5.52e-06,0,0,0,0,0.629399682761483,0.517254636889634,0.92059381291929
"WEE1",1.9e-06,1.66e-06,6.61e-06,2.58e-06,0,0,1,0,0.629360774204305,0.517303303952847,0.920597970905244
"SYT5",1.74e-06,2.49e-06,1.53e-05,7.65e-06,0,0,0,0,0.629314745888069,0.517353052506354,0.920602128320299
"ADIPOR2",1.92e-06,1.56e-06,1.07e-05,3.79e-06,0,0,0,0,0.629291385546814,0.517453090358514,0.920606285028322
"CRHBP",1.7e-06,2.7e-06,1.13e-05,5.35e-06,0,0,0,0,0.629284255251987,0.517506083382902,0.920610440931946
"LPPR5",2.01e-06,1.1e-06,1.04e-05,5.12e-06,0,0,0,0,0.629284160825597,0.51766235873033,0.920614595989117
"UNC5CL",2.01e-06,1.1e-06,1.73e-05,8.05e-06,0,0,1,0,0.629284160825597,0.51766235873033,0.920618750199528
"CAPNS1",2.01e-06,1.1e-06,1.25e-05,6.33e-06,0,0,0,0,0.629284160825597,0.51766235873033,0.920622903563436
"SKIV2L",2.02e-06,1.05e-06,1.12e-05,4.06e-06,0,0,0,0,0.629260461309054,0.517713729519278,0.920627056223537
"WNT11",1.59e-06,3.28e-06,1.59e-05,7.71e-06,0,0,0,0,0.629228749499968,0.517765641053372,0.920631208228197
"ZNF529",2.06e-06,8.49e-07,1.3e-05,4.63e-06,0,0,0,0,0.62920153294786,0.517818093332612,0.920635359550606
"PSEN2",1.53e-06,3.6e-06,1.57e-05,8.1e-06,0,0,0,0,0.629164879950311,0.517868923376413,0.920639510247669
"DNASE1L2",1.68e-06,2.81e-06,1.41e-05,8.54e-06,0,0,0,0,0.629151496609048,0.517972746444601,0.92064366017978
"SERPINB13",1.68e-06,2.81e-06,1.07e-05,5.34e-06,0,0,0,0,0.629151496609048,0.517972746444601,0.920647809266778
"NEU2",1.83e-06,2.03e-06,1.34e-05,7.2e-06,0,0,0,0,0.62913405447178,0.518024657978695,0.920651957613687
"NPAP1",2.2e-06,1.46e-07,3.2e-05,1.46e-05,0,0,0,2,0.629114895703886,0.518077651003082,0.920656105231043
"MYLK2",1.9e-06,1.67e-06,1.78e-05,8.55e-06,0,0,0,0,0.629108659873456,0.518129562537176,0.920660252041462
"CDK3",1.79e-06,2.24e-06,9.65e-06,4.11e-06,0,0,0,0,0.62906489952065,0.518180933326123,0.920664398270518
"WIPI1",2.13e-06,5.01e-07,1.45e-05,7e-06,0,0,0,0,0.629042734781841,0.518234467095658,0.920668543788724
"LHX4",1.86e-06,1.88e-06,1.34e-05,6.26e-06,0,0,0,0,0.629009045396836,0.518286919374899,0.920672688665487
"VTI1A",2.03e-06,1.01e-06,7.95e-06,3.44e-06,0,0,0,0,0.628983405410579,0.518339912399286,0.920676832852683
"RILP",1.9e-06,1.68e-06,2.06e-05,1.05e-05,0,0,0,0,0.628856681540087,0.518392364678527,0.920680976957274
"HAPLN2",1.58e-06,3.35e-06,1.56e-05,8.36e-06,0,0,0,0,0.628804900629797,0.518441572486887,0.920685120529493
"CEACAM16",1.59e-06,3.3e-06,1.74e-05,9.1e-06,0,0,0,0,0.628735905006561,0.518491321040394,0.920689263672817
"E2F2",1.67e-06,2.88e-06,1.49e-05,8.52e-06,0,0,0,0,0.628715189953863,0.518595684853728,0.920693406097659
"XK",1.67e-06,2.88e-06,1.32e-05,6.54e-06,0,0,0,0,0.628715189953863,0.518595684853728,0.920697547679945
"POLD2",1.95e-06,1.43e-06,1.59e-05,7.81e-06,0,0,0,1,0.628689298911067,0.518646514897529,0.920701688575267
"FUT5",1.6e-06,3.25e-06,1.53e-05,7.94e-06,0,0,0,0,0.628667910715015,0.51869896717677,0.920705828756823
"KLF1",1.64e-06,3.04e-06,1.84e-05,1.13e-05,0,0,0,0,0.628653032632248,0.518750337965717,0.92070996818578
"MGAT4C",1.83e-06,2.05e-06,1.24e-05,4.03e-06,0,0,1,0,0.62863272234951,0.518802790244958,0.920714106894949
